Firm Name,Review,Date/Time(GMT)
Central Park,"132,798 reviews",2020-08-25 07:35:11
Classic Harbor Line,"3,893 reviews",2020-08-25 07:35:11
One World Observatory,"28,091 reviews",2020-08-25 07:35:11
Statue of Liberty,"43,414 reviews",2020-08-25 07:35:11
The Met Cloisters,"5,092 reviews",2020-08-25 07:35:11
Frick Collection,"8,657 reviews",2020-08-25 07:35:11
New York Transit Museum,959 reviews,2020-08-25 07:35:11
The High Line,"62,299 reviews",2020-08-25 07:35:11
Metrograph Commissary,16 reviews,2020-08-25 07:35:11
Brooklyn Botanic Garden,"2,443 reviews",2020-08-25 07:35:11
"The Standard, High Line","4,131 reviews",2020-08-25 07:35:11
The Beekman A Thompson Hotel,"1,210 reviews",2020-08-25 07:35:11
Freehand New York,479 reviews,2020-08-25 07:35:11
The Roxy Hotel Tribeca,"1,605 reviews",2020-08-25 07:35:11
The James New York SoHo,"2,057 reviews",2020-08-25 07:35:11
The Mark,"1,016 reviews",2020-08-25 07:35:11
Henry Norman Hotel,994 reviews,2020-08-25 07:35:11
"The Hoxton, Williamsburg",338 reviews,2020-08-25 07:35:11
"The Carlyle, A Rosewood Hotel",979 reviews,2020-08-25 07:35:11
The Peninsula New York,"1,382 reviews",2020-08-25 07:35:11
Via Carota,358 reviews,2020-08-25 07:35:11
Momofuku Ssam Bar,667 reviews,2020-08-25 07:35:11
Katz's Deli,"17,314 reviews",2020-08-25 07:35:11
Balthazar,"6,333 reviews",2020-08-25 07:35:11
Frankies 457 Spuntino,223 reviews,2020-08-25 07:35:11
Hometown Bar-B-Que,317 reviews,2020-08-25 07:35:11
Diner,179 reviews,2020-08-25 07:35:11
Xi'an Famous Foods,294 reviews,2020-08-25 07:35:11
Roberta's Pizza,"1,358 reviews",2020-08-25 07:35:11
Ivan Ramen,444 reviews,2020-08-25 07:35:11
Apollo Theater,620 reviews,2020-08-25 07:35:11
The Studio Museum in Harlem,66 reviews,2020-08-25 07:35:11
Louis Armstrong House Museum,191 reviews,2020-08-25 07:35:11
The Ailey Extension,5 reviews,2020-08-25 07:35:11
Schomburg Center for Research in Black Culture,28 reviews,2020-08-25 07:35:11
Greg,38 reviews,2020-08-25 07:35:11
NYC with the Kiddos,106 reviews,2020-08-25 07:35:11
Pride@Trip (LGBTQ+ ERG),91 reviews,2020-08-25 07:35:11
Historic LGBTQ Sites in NYC,35 reviews,2020-08-25 07:35:11
av305,6 reviews,2020-08-25 07:35:11
NYC from A to Zzz,6 reviews,2020-08-25 07:35:11
Classic Midtown Manhattan 3-Bedroom 2 Bath,9 reviews,2020-08-25 07:35:11
spacious apartment in a townhouse,36 reviews,2020-08-25 07:35:11
2 bedroom duplex apartment,121 reviews,2020-08-25 07:35:11
"Big Garden, Walk to Empire State Building,Times Square,Shops,Subway 2&1/2 Blocks",29 reviews,2020-08-25 07:35:11
"NYC Midtown Vacation Rental, 2 bedroom (6Sleeps)",95 reviews,2020-08-25 07:35:11
New York- Midtown Manhattan-NEAR TIME SQUARE!,53 reviews,2020-08-25 07:35:11
Colbyco Metro-NYC Lights and Jersey Sights,211 reviews,2020-08-25 07:35:11
Upper West Side Brownstone Apartment,25 reviews,2020-08-25 07:35:11
Harlem Town House Apartment,98 reviews,2020-08-25 07:35:11
New Yokk City Vacation Waterfront Home view of Manhattan skyline and sunsets,464 reviews,2020-08-25 07:35:11
Devocion,926 reviews,2020-08-25 07:35:11
Tomi Jazz,383 reviews,2020-08-25 07:35:11
Brooklyn Academy of Music,"1,080 reviews",2020-08-25 07:35:11
St. Mazie,95 reviews,2020-08-25 07:35:11
Yemen Cafe and Restaurant,179 reviews,2020-08-25 07:35:11
Gantry Plaza State Park,215 reviews,2020-08-25 07:35:11
Buvette Gastrotheque,653 reviews,2020-08-25 07:35:11
Conservatory Garden,769 reviews,2020-08-25 07:35:11
Corner Bistro,"4,746 reviews",2020-08-25 07:35:11
Teddy's Bar and Grill,100 reviews,2020-08-25 07:35:11
Old Town Bar,118 reviews,2020-08-25 07:35:11
Ear Inn,19 reviews,2020-08-25 07:35:11
Wythe Hotel,212 reviews,2020-08-25 07:35:11
The Marlton Hotel,620 reviews,2020-08-25 07:35:11
The Iroquois New York,14 reviews,2020-08-25 07:35:11
The Public Theater,46 reviews,2020-08-25 07:35:11
The Duplex,222 reviews,2020-08-25 07:35:11
Sid Gold's Request Room,48 reviews,2020-08-25 07:35:11
